fact_id,date_id,workout_id,nutrition_id,time_id,total_active_minutes,resting_heart_rate,sleep_duration_hours,active_calories,steps,hrv_score,recovery_score,recovery_label
65,65,65,65,65,42,61,6.7,1200,13863,52,48,0
66,66,66,66,66,44,59,6.7,1200,16290,51,54,0
67,67,67,67,67,24,54,6.9,834,10017,45,46,0
68,68,68,68,68,32,62,6.4,1200,10191,53,50,0
69,69,69,69,69,38,55,7.3,1200,5873,60,57,0
70,70,70,70,70,45,59,6.6,1200,14967,64,49,0
71,71,71,71,71,36,55,7.2,1200,9663,53,52,0
72,72,72,72,72,20,52,6.9,998,15834,52,56,0
73,73,73,73,73,7,61,7.8,102,4050,49,60,1
74,74,74,74,74,27,57,7.1,1034,8082,55,59,0
75,75,75,75,75,34,52,5.5,1154,8311,51,46,0
76,76,76,76,76,22,60,7.1,949,10379,49,47,0
77,77,77,77,77,15,65,7.3,660,8554,51,51,0
78,78,78,78,78,0,66,7.7,43,2183,43,61,1
79,79,79,79,79,17,58,6.4,898,14617,56,46,0
80,80,80,80,80,0,62,8.3,97,3912,52,67,1
81,81,81,81,81,1,63,7.7,13,3461,54,64,1
82,82,82,82,82,31,60,7.2,886,9907,46,51,0
83,83,83,83,83,0,60,8.0,34,3665,53,58,0
84,84,84,84,84,28,60,7.2,1200,9065,52,55,0
85,85,85,85,85,38,60,6.6,1200,5093,51,48,0
86,86,86,86,86,38,60,5.8,959,8425,51,52,0
87,87,87,87,87,4,60,7.3,15,3624,61,62,1
88,88,88,88,88,33,58,7.4,1200,13618,58,56,0
89,89,89,89,89,35,62,6.8,1200,9313,56,54,0
90,90,90,90,90,14,62,6.9,775,11876,59,56,0
91,91,91,91,91,19,59,7.1,947,6629,56,54,0
92,92,92,92,92,0,67,8.1,79,4466,54,67,1
93,93,93,93,93,19,56,6.9,767,8058,58,57,0
94,94,94,94,94,23,62,7.2,1200,12637,58,55,0
95,95,95,95,95,10,59,7.3,601,9191,57,51,0
96,96,96,96,96,52,68,7.3,1200,12337,44,47,0
97,97,97,97,97,29,55,6.1,1107,14170,47,50,0
98,98,98,98,98,34,56,6.8,1200,6154,52,53,0
99,99,99,99,99,28,61,7.4,1200,9253,57,52,0
100,100,100,100,100,7,63,7.8,202,6554,54,60,1
101,101,101,101,101,0,67,7.1,179,3719,56,62,1
102,102,102,102,102,8,58,7.4,88,5723,61,65,1
103,103,103,103,103,5,61,7.4,506,11739,59,56,0
104,104,104,104,104,5,65,7.4,401,6659,58,60,1
105,105,105,105,105,2,64,7.3,81,6109,47,59,0
106,106,106,106,106,8,59,7.7,88,4349,57,65,1
107,107,107,107,107,20,61,7.6,748,13167,51,56,0
108,108,108,108,108,36,61,7.9,1190,14818,47,51,0
109,109,109,109,109,55,61,7.4,1200,8584,52,52,0
110,110,110,110,110,2,62,7.0,346,3792,59,61,1
111,111,111,111,111,26,58,7.0,1033,14247,55,59,0
112,112,112,112,112,37,59,7.3,1200,7241,64,57,0
113,113,113,113,113,5,60,6.9,472,15360,53,51,0
114,114,114,114,114,24,59,6.6,853,9465,64,50,0
115,115,115,115,115,17,57,6.5,793,7843,53,47,0
116,116,116,116,116,1,58,8.1,131,5731,57,66,1
117,117,117,117,117,0,58,6.9,0,6076,46,55,0
118,118,118,118,118,1,62,7.3,65,6006,58,68,1
119,119,119,119,119,11,57,7.0,520,13061,51,50,0
120,120,120,120,120,53,59,7.5,1200,11546,51,50,0
121,121,121,121,121,30,59,6.3,1074,9596,57,51,0
122,122,122,122,122,63,57,6.2,1200,9634,57,54,0
123,123,123,123,123,24,62,6.7,1051,7133,57,55,0
124,124,124,124,124,17,56,7.8,714,10265,54,58,0
125,125,125,125,125,26,57,5.6,1200,8955,49,47,0
126,126,126,126,126,31,58,6.5,1200,16181,51,58,0
127,127,127,127,127,34,51,8.4,1200,16978,63,63,1
128,128,128,128,128,8,57,7.3,439,7873,62,60,1
129,129,129,129,129,31,61,6.4,1200,5047,52,49,0
130,130,130,130,130,16,53,6.5,897,15747,63,56,0
131,131,131,131,131,21,63,7.0,1200,7849,56,49,0
132,132,132,132,132,1,66,7.4,273,4744,51,56,0
133,133,133,133,133,43,57,7.4,1200,13935,59,56,0
134,134,134,134,134,14,59,7.2,768,9887,62,51,0
135,135,135,135,135,15,62,6.2,854,15006,59,46,0
136,136,136,136,136,52,58,7.4,1200,5170,60,50,0
137,137,137,137,137,6,64,6.7,393,3914,51,55,0
138,138,138,138,138,19,55,6.5,711,12685,51,53,0
139,139,139,139,139,3,59,6.6,80,6309,54,60,1
140,140,140,140,140,26,57,6.2,849,7508,59,51,0
141,141,141,141,141,19,60,6.6,1061,9273,53,51,0
142,142,142,142,142,23,60,6.4,932,17599,53,51,0
143,143,143,143,143,2,61,7.2,399,2651,53,53,0
144,144,144,144,144,59,55,5.9,1200,9477,49,44,0
145,145,145,145,145,17,55,5.4,911,8442,48,47,0
146,146,146,146,146,13,60,6.5,706,11534,52,51,0
147,147,147,147,147,27,64,6.8,1200,17828,59,53,0
148,148,148,148,148,18,60,6.2,984,11847,49,44,0
149,149,149,149,149,16,57,7.8,325,17994,56,52,0
150,150,150,150,150,60,62,6.7,1200,7663,47,48,0
151,151,151,151,151,0,61,7.9,61,6856,58,74,1
152,152,152,152,152,0,60,7.5,61,6073,61,67,1
153,153,153,153,153,4,55,7.0,626,7782,62,53,0
154,154,154,154,154,30,63,6.1,1200,8060,50,45,0
155,155,155,155,155,22,52,7.0,854,5287,58,61,1
156,156,156,156,156,0,64,7.1,0,4315,51,61,1
157,157,157,157,157,15,57,7.1,632,9326,56,52,0
158,158,158,158,158,1,59,7.4,64,6099,56,64,1
159,159,159,159,159,1,67,7.0,57,2581,51,64,1
160,160,160,160,160,0,59,8.0,37,5453,56,67,1
161,161,161,161,161,27,57,7.2,1200,8545,56,51,0
162,162,162,162,162,18,61,6.8,581,2662,50,59,0
163,163,163,163,163,37,59,7.1,1200,5235,52,48,0
164,164,164,164,164,31,57,7.0,976,7261,62,58,0
165,165,165,165,165,41,54,6.1,1200,9467,65,47,0
166,166,166,166,166,30,56,7.0,1200,14010,48,50,0
167,167,167,167,167,0,65,7.2,34,2510,45,56,0
168,168,168,168,168,0,60,7.0,58,5127,48,59,0
169,169,169,169,169,22,58,6.2,946,8114,50,54,0
170,170,170,170,170,18,59,6.8,554,4596,57,59,0
171,171,171,171,171,22,57,7.3,791,16110,57,55,0
172,172,172,172,172,68,64,6.2,1200,14580,50,41,0
173,173,173,173,173,15,56,8.3,466,11168,60,57,0
174,174,174,174,174,11,60,7.4,521,5297,50,57,0
175,175,175,175,175,45,61,7.7,1200,7202,53,52,0
176,176,176,176,176,27,57,7.4,1007,5419,54,58,0
177,177,177,177,177,33,55,7.9,1200,10662,49,55,0
178,178,178,178,178,26,60,6.6,756,4069,45,56,0
179,179,179,179,179,0,62,6.2,0,5999,44,50,0
180,180,180,180,180,0,62,7.3,133,5026,57,64,1
181,181,181,181,181,0,66,7.8,37,5424,54,58,0
182,182,182,182,182,3,63,7.6,0,5801,56,65,1
183,183,183,183,183,37,51,6.6,1101,8460,45,53,0
184,184,184,184,184,29,59,7.7,1109,17439,47,46,0
185,185,185,185,185,6,62,7.7,74,5077,57,65,1
186,186,186,186,186,0,60,7.9,56,4543,41,62,1
187,187,187,187,187,36,59,6.5,1200,8739,57,46,0
188,188,188,188,188,29,59,6.5,987,5820,42,44,0
189,189,189,189,189,0,61,8.3,117,6394,60,71,1
190,190,190,190,190,51,60,7.1,1200,16118,48,49,0
191,191,191,191,191,14,60,6.7,563,5860,57,61,1
192,192,192,192,192,21,55,6.7,896,9391,69,62,1
193,193,193,193,193,15,69,6.7,636,8038,38,48,0
194,194,194,194,194,0,59,7.1,67,2312,57,61,1
195,195,195,195,195,31,60,6.4,1200,8674,42,42,0
196,196,196,196,196,52,55,6.2,1200,8088,54,48,0
197,197,197,197,197,37,59,6.4,1200,12758,50,48,0
198,198,198,198,198,0,59,7.2,104,4568,54,60,1
199,199,199,199,199,31,57,7.6,951,5294,51,53,0
200,200,200,200,200,46,62,7.1,1200,16266,56,55,0
201,201,201,201,201,2,61,7.6,42,5220,47,57,0
202,202,202,202,202,16,63,6.6,756,5395,57,59,0
203,203,203,203,203,32,52,6.4,1200,15356,51,57,0
204,204,204,204,204,26,64,7.2,1052,8626,45,45,0
205,205,205,205,205,20,56,7.4,976,5898,63,56,0
206,206,206,206,206,33,64,7.0,1200,9865,51,51,0
207,207,207,207,207,37,63,7.5,1200,7103,63,58,0
208,208,208,208,208,0,63,7.5,30,5968,59,67,1
209,209,209,209,209,22,57,7.4,1131,5355,51,51,0
210,210,210,210,210,40,59,6.3,1200,13744,50,47,0
211,211,211,211,211,1,59,6.6,86,4094,52,52,0
212,212,212,212,212,55,59,6.6,1200,15475,59,45,0
213,213,213,213,213,12,59,7.4,701,8343,56,49,0
214,214,214,214,214,1,54,7.8,29,3753,58,67,1
215,215,215,215,215,1,65,7.7,88,3571,52,59,0
216,216,216,216,216,0,60,7.3,172,4050,53,67,1
217,217,217,217,217,27,57,6.6,867,8557,59,50,0
218,218,218,218,218,22,58,7.3,785,7451,54,56,0
219,219,219,219,219,9,61,7.2,371,3514,51,58,0
220,220,220,220,220,29,54,6.7,1161,9782,51,58,0
221,221,221,221,221,18,50,7.6,777,8186,55,57,0
222,222,222,222,222,7,60,6.6,640,14459,44,48,0
223,223,223,223,223,0,62,7.2,72,2574,49,64,1
224,224,224,224,224,14,59,7.8,662,2869,63,65,1
225,225,225,225,225,12,55,7.4,663,9338,54,54,0
226,226,226,226,226,11,62,6.8,385,3831,55,58,0
227,227,227,227,227,48,55,7.1,1200,8919,42,49,0
228,228,228,228,228,32,54,6.6,1200,14853,56,50,0
229,229,229,229,229,50,56,5.1,1200,14316,47,39,0
230,230,230,230,230,21,61,6.5,963,6338,48,57,0
231,231,231,231,231,31,57,7.0,1171,8113,54,51,0
232,232,232,232,232,13,57,6.8,631,9062,50,58,0
233,233,233,233,233,11,66,7.1,492,3722,40,54,0
234,234,234,234,234,29,58,7.1,1200,15399,58,54,0
235,235,235,235,235,10,63,6.8,240,4589,52,58,0
236,236,236,236,236,0,60,7.0,1,5959,51,62,1
237,237,237,237,237,35,57,7.2,1200,11197,49,48,0
238,238,238,238,238,0,55,7.3,111,5354,48,66,1
239,239,239,239,239,21,61,6.9,795,7173,53,58,0
240,240,240,240,240,38,59,6.9,1200,6400,61,51,0
241,241,241,241,241,1,61,8.6,199,6114,58,70,1
242,242,242,242,242,11,60,6.4,29,3664,44,52,0
243,243,243,243,243,22,62,6.8,544,9416,52,47,0
244,244,244,244,244,23,54,6.5,921,13183,53,57,0
245,245,245,245,245,51,55,6.1,1200,14715,56,45,0
246,246,246,246,246,2,58,7.9,132,4747,59,66,1
247,247,247,247,247,40,62,6.9,1200,11716,37,49,0
248,248,248,248,248,24,60,7.0,695,14325,55,53,0
249,249,249,249,249,15,52,6.9,510,14453,50,60,1
250,250,250,250,250,31,54,6.9,1155,8629,47,49,0
251,251,251,251,251,3,61,7.4,29,6433,52,60,1
252,252,252,252,252,8,60,7.5,24,4563,56,60,1
253,253,253,253,253,30,55,6.9,1107,15863,45,49,0
254,254,254,254,254,33,65,7.1,1200,8533,55,48,0
255,255,255,255,255,40,59,7.4,1200,9559,58,59,0
256,256,256,256,256,4,61,6.9,40,2992,52,59,0
257,257,257,257,257,0,59,7.0,70,3363,48,57,0
258,258,258,258,258,14,62,6.1,628,5794,44,41,0
259,259,259,259,259,16,58,7.4,665,5666,59,54,0
260,260,260,260,260,49,56,6.6,1200,10095,45,50,0
261,261,261,261,261,36,60,7.3,1200,8733,59,53,0
262,262,262,262,262,0,55,6.8,19,3353,53,61,1
263,263,263,263,263,9,63,7.9,596,13256,54,63,1
264,264,264,264,264,27,59,6.7,1184,7617,43,50,0
265,265,265,265,265,8,65,7.1,411,2752,51,51,0
266,266,266,266,266,45,56,7.4,1200,6455,58,55,0
267,267,267,267,267,25,56,6.5,996,15592,46,54,0
268,268,268,268,268,32,55,6.7,1137,5628,56,50,0
269,269,269,269,269,15,60,7.1,865,5650,53,46,0
270,270,270,270,270,24,60,8.4,1030,5226,53,58,0
271,271,271,271,271,30,58,7.2,1118,6049,58,57,0
272,272,272,272,272,23,55,7.8,782,9964,45,57,0
273,273,273,273,273,48,56,7.6,1200,8480,57,58,0
274,274,274,274,274,64,57,6.7,1200,11661,61,54,0
275,275,275,275,275,10,60,7.0,98,6802,60,61,1
276,276,276,276,276,15,55,7.5,636,16838,57,58,0
277,277,277,277,277,30,62,6.3,1200,10602,48,48,0
278,278,278,278,278,42,58,7.3,1200,17125,51,56,0
279,279,279,279,279,0,64,7.6,71,6234,52,60,1
280,280,280,280,280,0,58,6.2,117,6318,53,60,1
281,281,281,281,281,43,59,6.8,1200,9161,48,42,0
282,282,282,282,282,26,59,7.3,1200,9847,57,54,0
283,283,283,283,283,27,54,6.9,1200,8075,65,63,1
284,284,284,284,284,34,62,7.4,1200,7912,53,50,0
285,285,285,285,285,17,58,6.1,575,14287,44,40,0
286,286,286,286,286,29,61,6.3,1193,15458,43,43,0
287,287,287,287,287,24,56,7.0,1006,6808,58,54,0
288,288,288,288,288,17,57,7.0,611,11126,53,56,0
289,289,289,289,289,60,56,6.3,1200,17163,56,49,0
290,290,290,290,290,41,63,7.6,1200,6143,51,49,0
291,291,291,291,291,1,62,7.1,34,5306,56,59,0
292,292,292,292,292,26,61,7.2,1107,8117,52,50,0
293,293,293,293,293,22,64,7.0,707,4230,48,53,0
294,294,294,294,294,28,61,6.2,1064,7902,48,50,0
295,295,295,295,295,4,64,6.8,82,6679,45,57,0
296,296,296,296,296,11,56,7.0,358,3262,64,67,1
297,297,297,297,297,12,59,8.0,475,4350,55,63,1
298,298,298,298,298,0,58,7.8,96,5008,59,65,1
299,299,299,299,299,1,64,6.6,48,4850,47,59,0
300,300,300,300,300,40,58,4.9,1200,17643,42,28,0
301,301,301,301,301,0,57,7.9,111,3436,55,68,1
302,302,302,302,302,39,57,7.0,1200,9197,59,58,0
303,303,303,303,303,53,53,7.1,1200,10276,52,54,0
304,304,304,304,304,38,58,6.1,1200,8235,46,49,0
305,305,305,305,305,0,55,7.7,38,6956,57,65,1
306,306,306,306,306,31,59,7.4,1200,10549,56,60,1
307,307,307,307,307,24,58,6.8,940,16490,61,54,0
308,308,308,308,308,11,64,6.3,794,9712,51,41,0
309,309,309,309,309,24,61,7.0,936,14352,55,56,0
310,310,310,310,310,25,57,7.3,885,9270,58,52,0
311,311,311,311,311,14,61,7.0,607,14119,46,56,0
312,312,312,312,312,33,53,7.5,999,9127,51,58,0
313,313,313,313,313,28,57,6.8,1200,5075,47,49,0
314,314,314,314,314,9,59,6.3,596,14260,44,50,0
315,315,315,315,315,8,51,8.0,808,11409,62,67,1
316,316,316,316,316,38,58,6.7,1200,16748,54,52,0
317,317,317,317,317,34,55,6.7,1200,13295,53,56,0
318,318,318,318,318,0,62,7.5,170,5185,40,60,1
319,319,319,319,319,32,54,7.0,1040,8308,65,62,1
320,320,320,320,320,10,61,6.8,361,3447,47,58,0
321,321,321,321,321,8,62,7.0,440,4883,62,62,1
322,322,322,322,322,23,61,7.0,865,12000,45,50,0
323,323,323,323,323,30,59,7.1,903,16715,49,57,0
324,324,324,324,324,51,56,5.3,1200,15859,38,42,0
325,325,325,325,325,0,61,8.4,70,2383,58,66,1
326,326,326,326,326,0,57,7.4,48,2828,49,59,0
327,327,327,327,327,0,63,7.8,200,2555,49,67,1
328,328,328,328,328,35,59,5.8,1189,9011,42,45,0
329,329,329,329,329,49,64,6.3,1200,14659,53,46,0
330,330,330,330,330,20,57,6.7,827,13371,56,56,0
331,331,331,331,331,0,59,8.2,75,4198,65,73,1
332,332,332,332,332,22,56,6.7,1085,5029,49,50,0
333,333,333,333,333,2,62,7.9,29,2104,56,61,1
334,334,334,334,334,0,63,7.2,76,5562,46,57,0
335,335,335,335,335,32,59,6.8,1088,5619,51,51,0
336,336,336,336,336,38,62,6.4,1200,9101,48,44,0
337,337,337,337,337,35,56,7.6,1200,9503,58,62,1
338,338,338,338,338,0,63,6.6,135,3557,55,64,1
339,339,339,339,339,21,60,6.3,765,9270,55,51,0
340,340,340,340,340,11,61,6.0,428,3117,45,48,0
341,341,341,341,341,48,59,6.5,1200,5268,56,50,0
342,342,342,342,342,17,69,6.6,357,5926,48,53,0
343,343,343,343,343,0,58,6.7,87,5561,51,57,0
344,344,344,344,344,21,58,6.1,716,9455,47,47,0
345,345,345,345,345,0,58,6.5,56,3786,49,60,1
346,346,346,346,346,6,65,7.0,23,4462,60,68,1
347,347,347,347,347,20,64,7.6,492,3901,55,66,1
348,348,348,348,348,37,55,7.2,1200,12436,55,60,1
349,349,349,349,349,20,59,6.6,684,10859,50,45,0
350,350,350,350,350,32,60,6.5,1076,8325,63,57,0
351,351,351,351,351,51,55,5.7,1200,10151,57,44,0
352,352,352,352,352,25,62,6.4,868,5446,46,41,0
353,353,353,353,353,27,58,6.5,1129,12514,50,46,0
354,354,354,354,354,26,58,6.9,1108,14735,52,47,0
355,355,355,355,355,21,58,7.5,665,8524,55,53,0
356,356,356,356,356,36,58,6.8,1160,10817,49,45,0
357,357,357,357,357,0,62,7.1,63,2588,54,62,1
358,358,358,358,358,0,60,7.5,104,6832,61,67,1
359,359,359,359,359,20,55,6.8,876,17309,47,51,0
360,360,360,360,360,69,62,6.4,1200,11063,44,40,0
361,361,361,361,361,8,58,8.0,614,3607,54,69,1
362,362,362,362,362,51,59,6.1,1200,7714,48,50,0
363,363,363,363,363,38,57,6.9,1200,8861,63,52,0
364,364,364,364,364,31,65,7.6,1200,9447,58,56,0
365,365,365,365,365,5,57,6.8,0,4646,58,61,1
