time_id,date,day_of_week,month,season,is_weekend
164,2024-06-12,Wednesday,6,Summer,0
165,2024-06-13,Thursday,6,Summer,0
166,2024-06-14,Friday,6,Summer,0
167,2024-06-15,Saturday,6,Summer,1
168,2024-06-16,Sunday,6,Summer,1
169,2024-06-17,Monday,6,Summer,0
170,2024-06-18,Tuesday,6,Summer,0
171,2024-06-19,Wednesday,6,Summer,0
172,2024-06-20,Thursday,6,Summer,0
173,2024-06-21,Friday,6,Summer,0
174,2024-06-22,Saturday,6,Summer,1
175,2024-06-23,Sunday,6,Summer,1
176,2024-06-24,Monday,6,Summer,0
177,2024-06-25,Tuesday,6,Summer,0
178,2024-06-26,Wednesday,6,Summer,0
179,2024-06-27,Thursday,6,Summer,0
180,2024-06-28,Friday,6,Summer,0
181,2024-06-29,Saturday,6,Summer,1
182,2024-06-30,Sunday,6,Summer,1
183,2024-07-01,Monday,7,Summer,0
184,2024-07-02,Tuesday,7,Summer,0
185,2024-07-03,Wednesday,7,Summer,0
186,2024-07-04,Thursday,7,Summer,0
187,2024-07-05,Friday,7,Summer,0
188,2024-07-06,Saturday,7,Summer,1
189,2024-07-07,Sunday,7,Summer,1
190,2024-07-08,Monday,7,Summer,0
191,2024-07-09,Tuesday,7,Summer,0
192,2024-07-10,Wednesday,7,Summer,0
193,2024-07-11,Thursday,7,Summer,0
194,2024-07-12,Friday,7,Summer,0
195,2024-07-13,Saturday,7,Summer,1
196,2024-07-14,Sunday,7,Summer,1
197,2024-07-15,Monday,7,Summer,0
198,2024-07-16,Tuesday,7,Summer,0
199,2024-07-17,Wednesday,7,Summer,0
200,2024-07-18,Thursday,7,Summer,0
201,2024-07-19,Friday,7,Summer,0
202,2024-07-20,Saturday,7,Summer,1
203,2024-07-21,Sunday,7,Summer,1
204,2024-07-22,Monday,7,Summer,0
205,2024-07-23,Tuesday,7,Summer,0
206,2024-07-24,Wednesday,7,Summer,0
207,2024-07-25,Thursday,7,Summer,0
208,2024-07-26,Friday,7,Summer,0
209,2024-07-27,Saturday,7,Summer,1
210,2024-07-28,Sunday,7,Summer,1
211,2024-07-29,Monday,7,Summer,0
212,2024-07-30,Tuesday,7,Summer,0
213,2024-07-31,Wednesday,7,Summer,0
214,2024-08-01,Thursday,8,Summer,0
215,2024-08-02,Friday,8,Summer,0
216,2024-08-03,Saturday,8,Summer,1
217,2024-08-04,Sunday,8,Summer,1
218,2024-08-05,Monday,8,Summer,0
219,2024-08-06,Tuesday,8,Summer,0
220,2024-08-07,Wednesday,8,Summer,0
221,2024-08-08,Thursday,8,Summer,0
222,2024-08-09,Friday,8,Summer,0
223,2024-08-10,Saturday,8,Summer,1
224,2024-08-11,Sunday,8,Summer,1
225,2024-08-12,Monday,8,Summer,0
226,2024-08-13,Tuesday,8,Summer,0
227,2024-08-14,Wednesday,8,Summer,0
228,2024-08-15,Thursday,8,Summer,0
229,2024-08-16,Friday,8,Summer,0
230,2024-08-17,Saturday,8,Summer,1
231,2024-08-18,Sunday,8,Summer,1
232,2024-08-19,Monday,8,Summer,0
233,2024-08-20,Tuesday,8,Summer,0
234,2024-08-21,Wednesday,8,Summer,0
235,2024-08-22,Thursday,8,Summer,0
236,2024-08-23,Friday,8,Summer,0
237,2024-08-24,Saturday,8,Summer,1
238,2024-08-25,Sunday,8,Summer,1
239,2024-08-26,Monday,8,Summer,0
240,2024-08-27,Tuesday,8,Summer,0
241,2024-08-28,Wednesday,8,Summer,0
242,2024-08-29,Thursday,8,Summer,0
243,2024-08-30,Friday,8,Summer,0
244,2024-08-31,Saturday,8,Summer,1
245,2024-09-01,Sunday,9,Fall,1
246,2024-09-02,Monday,9,Fall,0
247,2024-09-03,Tuesday,9,Fall,0
248,2024-09-04,Wednesday,9,Fall,0
249,2024-09-05,Thursday,9,Fall,0
250,2024-09-06,Friday,9,Fall,0
251,2024-09-07,Saturday,9,Fall,1
252,2024-09-08,Sunday,9,Fall,1
253,2024-09-09,Monday,9,Fall,0
254,2024-09-10,Tuesday,9,Fall,0
255,2024-09-11,Wednesday,9,Fall,0
256,2024-09-12,Thursday,9,Fall,0
257,2024-09-13,Friday,9,Fall,0
258,2024-09-14,Saturday,9,Fall,1
259,2024-09-15,Sunday,9,Fall,1
260,2024-09-16,Monday,9,Fall,0
261,2024-09-17,Tuesday,9,Fall,0
262,2024-09-18,Wednesday,9,Fall,0
263,2024-09-19,Thursday,9,Fall,0
264,2024-09-20,Friday,9,Fall,0
265,2024-09-21,Saturday,9,Fall,1
266,2024-09-22,Sunday,9,Fall,1
267,2024-09-23,Monday,9,Fall,0
268,2024-09-24,Tuesday,9,Fall,0
269,2024-09-25,Wednesday,9,Fall,0
270,2024-09-26,Thursday,9,Fall,0
271,2024-09-27,Friday,9,Fall,0
272,2024-09-28,Saturday,9,Fall,1
273,2024-09-29,Sunday,9,Fall,1
274,2024-09-30,Monday,9,Fall,0
275,2024-10-01,Tuesday,10,Fall,0
276,2024-10-02,Wednesday,10,Fall,0
277,2024-10-03,Thursday,10,Fall,0
278,2024-10-04,Friday,10,Fall,0
279,2024-10-05,Saturday,10,Fall,1
280,2024-10-06,Sunday,10,Fall,1
281,2024-10-07,Monday,10,Fall,0
282,2024-10-08,Tuesday,10,Fall,0
283,2024-10-09,Wednesday,10,Fall,0
284,2024-10-10,Thursday,10,Fall,0
285,2024-10-11,Friday,10,Fall,0
286,2024-10-12,Saturday,10,Fall,1
287,2024-10-13,Sunday,10,Fall,1
288,2024-10-14,Monday,10,Fall,0
289,2024-10-15,Tuesday,10,Fall,0
290,2024-10-16,Wednesday,10,Fall,0
291,2024-10-17,Thursday,10,Fall,0
292,2024-10-18,Friday,10,Fall,0
293,2024-10-19,Saturday,10,Fall,1
294,2024-10-20,Sunday,10,Fall,1
295,2024-10-21,Monday,10,Fall,0
296,2024-10-22,Tuesday,10,Fall,0
297,2024-10-23,Wednesday,10,Fall,0
298,2024-10-24,Thursday,10,Fall,0
299,2024-10-25,Friday,10,Fall,0
300,2024-10-26,Saturday,10,Fall,1
301,2024-10-27,Sunday,10,Fall,1
302,2024-10-28,Monday,10,Fall,0
303,2024-10-29,Tuesday,10,Fall,0
304,2024-10-30,Wednesday,10,Fall,0
305,2024-10-31,Thursday,10,Fall,0
306,2024-11-01,Friday,11,Fall,0
307,2024-11-02,Saturday,11,Fall,1
308,2024-11-03,Sunday,11,Fall,1
309,2024-11-04,Monday,11,Fall,0
310,2024-11-05,Tuesday,11,Fall,0
311,2024-11-06,Wednesday,11,Fall,0
312,2024-11-07,Thursday,11,Fall,0
313,2024-11-08,Friday,11,Fall,0
314,2024-11-09,Saturday,11,Fall,1
315,2024-11-10,Sunday,11,Fall,1
316,2024-11-11,Monday,11,Fall,0
317,2024-11-12,Tuesday,11,Fall,0
318,2024-11-13,Wednesday,11,Fall,0
319,2024-11-14,Thursday,11,Fall,0
320,2024-11-15,Friday,11,Fall,0
321,2024-11-16,Saturday,11,Fall,1
322,2024-11-17,Sunday,11,Fall,1
323,2024-11-18,Monday,11,Fall,0
324,2024-11-19,Tuesday,11,Fall,0
325,2024-11-20,Wednesday,11,Fall,0
326,2024-11-21,Thursday,11,Fall,0
327,2024-11-22,Friday,11,Fall,0
328,2024-11-23,Saturday,11,Fall,1
329,2024-11-24,Sunday,11,Fall,1
330,2024-11-25,Monday,11,Fall,0
331,2024-11-26,Tuesday,11,Fall,0
332,2024-11-27,Wednesday,11,Fall,0
333,2024-11-28,Thursday,11,Fall,0
334,2024-11-29,Friday,11,Fall,0
335,2024-11-30,Saturday,11,Fall,1
336,2024-12-01,Sunday,12,Winter,1
337,2024-12-02,Monday,12,Winter,0
338,2024-12-03,Tuesday,12,Winter,0
339,2024-12-04,Wednesday,12,Winter,0
340,2024-12-05,Thursday,12,Winter,0
341,2024-12-06,Friday,12,Winter,0
342,2024-12-07,Saturday,12,Winter,1
343,2024-12-08,Sunday,12,Winter,1
344,2024-12-09,Monday,12,Winter,0
345,2024-12-10,Tuesday,12,Winter,0
346,2024-12-11,Wednesday,12,Winter,0
347,2024-12-12,Thursday,12,Winter,0
348,2024-12-13,Friday,12,Winter,0
349,2024-12-14,Saturday,12,Winter,1
350,2024-12-15,Sunday,12,Winter,1
351,2024-12-16,Monday,12,Winter,0
352,2024-12-17,Tuesday,12,Winter,0
353,2024-12-18,Wednesday,12,Winter,0
354,2024-12-19,Thursday,12,Winter,0
355,2024-12-20,Friday,12,Winter,0
356,2024-12-21,Saturday,12,Winter,1
357,2024-12-22,Sunday,12,Winter,1
358,2024-12-23,Monday,12,Winter,0
359,2024-12-24,Tuesday,12,Winter,0
360,2024-12-25,Wednesday,12,Winter,0
361,2024-12-26,Thursday,12,Winter,0
362,2024-12-27,Friday,12,Winter,0
363,2024-12-28,Saturday,12,Winter,1
364,2024-12-29,Sunday,12,Winter,1
365,2024-12-30,Monday,12,Winter,0
