full_date,meal_name,calories,protein_g,carbs_g,fat_g
2024-01-30,Avocado Toast (Whole Grain),405,14,46,17
2024-01-31,Mixed Nuts (Snack),194,5,10,13
2024-01-31,Mixed Nuts (Snack),211,8,10,15
2024-01-31,Mixed Nuts (Snack),161,6,6,17
2024-01-31,Avocado Toast (Whole Grain),423,10,41,14
2024-02-01,Mixed Nuts (Snack),165,6,8,17
2024-02-01,Brown Rice + Veggies,363,13,73,5
2024-02-01,Greek Yogurt + Berries,214,20,27,5
2024-02-01,Brown Rice + Veggies,385,13,66,9
2024-02-01,Mixed Nuts (Snack),167,7,7,13
2024-02-02,Egg White Omelette,204,26,8,8
2024-02-02,Batch-cooked Chicken Breast,388,54,15,9
2024-02-02,Batch-cooked Chicken Breast,410,54,13,8
2024-02-02,Ground Turkey Bowl,489,47,36,16
2024-02-02,Egg White Omelette,295,23,7,6
2024-02-03,Batch-cooked Chicken Breast,430,47,12,9
2024-02-03,Greek Yogurt + Berries,185,20,34,7
2024-02-03,Egg White Omelette,285,27,14,8
2024-02-03,Batch-cooked Chicken Breast,425,50,16,13
2024-02-04,Ground Turkey Bowl,424,38,32,13
2024-02-04,Post-Workout Rice Cakes,142,5,28,1
2024-02-04,Ground Turkey Bowl,507,40,38,17
2024-02-04,Greek Yogurt + Berries,181,18,31,3
2024-02-05,Brown Rice + Veggies,305,12,71,5
2024-02-05,Brown Rice + Veggies,385,13,74,7
2024-02-05,Greek Yogurt + Berries,183,19,27,5
2024-02-05,Brown Rice + Veggies,337,9,61,7
2024-02-05,Greek Yogurt + Berries,221,18,31,6
2024-02-06,Greek Yogurt + Berries,197,20,32,4
2024-02-06,Egg White Omelette,236,29,9,9
2024-02-06,Egg White Omelette,257,27,8,6
2024-02-07,Greek Yogurt + Berries,234,20,24,4
2024-02-07,Protein Shake,159,30,10,2
2024-02-07,Greek Yogurt + Berries,244,19,34,7
2024-02-07,Batch-cooked Chicken Breast,420,44,15,10
2024-02-07,Protein Shake,167,29,5,5
2024-02-08,Incline Walk Fuel Bar,269,17,37,8
2024-02-08,Avocado Toast (Whole Grain),352,10,53,19
2024-02-08,Avocado Toast (Whole Grain),431,13,47,15
2024-02-09,Greek Yogurt + Berries,219,17,28,5
2024-02-09,Protein Shake,182,27,13,2
2024-02-09,Ground Turkey Bowl,495,39,36,15
2024-02-09,Ground Turkey Bowl,479,48,34,18
2024-02-10,Protein Shake,192,34,14,4
2024-02-10,Egg White Omelette,252,22,13,5
2024-02-10,Batch-cooked Chicken Breast,460,45,10,10
2024-02-11,Egg White Omelette,271,27,11,5
2024-02-11,Greek Yogurt + Berries,204,17,29,4
2024-02-11,Protein Shake,168,30,13,4
2024-02-11,Greek Yogurt + Berries,186,18,26,3
2024-02-11,Ground Turkey Bowl,460,40,46,11
2024-02-12,Mixed Nuts (Snack),217,5,8,14
2024-02-12,Protein Shake,191,29,7,3
2024-02-12,Protein Shake,166,26,5,5
2024-02-13,Cheeseburger + Fries,715,30,88,33
2024-02-13,Protein Shake,164,26,14,4
2024-02-13,Greek Yogurt + Berries,229,15,22,4
2024-02-14,Post-Workout Rice Cakes,167,5,34,3
2024-02-14,Lentil Soup,322,18,45,7
2024-02-14,Lentil Soup,295,17,40,7
2024-02-14,Post-Workout Rice Cakes,170,6,36,1
2024-02-14,Incline Walk Fuel Bar,264,16,33,8
2024-02-15,Brown Rice + Veggies,345,8,73,8
2024-02-15,Lentil Soup,312,15,45,7
2024-02-15,Avocado Toast (Whole Grain),367,11,46,14
2024-02-15,Avocado Toast (Whole Grain),350,12,48,18
2024-02-15,Brown Rice + Veggies,320,12,68,7
2024-02-16,Protein Shake,140,27,5,2
2024-02-16,Incline Walk Fuel Bar,239,12,33,7
2024-02-16,Batch-cooked Chicken Breast,420,42,16,10
2024-02-17,Greek Yogurt + Berries,228,18,30,3
2024-02-17,Batch-cooked Chicken Breast,439,45,8,6
2024-02-17,Incline Walk Fuel Bar,204,10,33,5
2024-02-17,Mixed Nuts (Snack),165,6,10,16
2024-02-18,Protein Shake,167,25,9,4
2024-02-18,Ground Turkey Bowl,425,49,43,14
2024-02-18,Greek Yogurt + Berries,223,15,30,3
2024-02-18,Batch-cooked Chicken Breast,424,49,18,13
2024-02-19,Batch-cooked Chicken Breast,459,51,12,13
2024-02-19,Greek Yogurt + Berries,208,15,29,6
2024-02-19,Batch-cooked Chicken Breast,392,51,18,10
2024-02-19,Ground Turkey Bowl,491,44,39,11
2024-02-20,Greek Yogurt + Berries,219,17,21,6
2024-02-20,Mixed Nuts (Snack),218,7,6,15
2024-02-20,Mixed Nuts (Snack),205,6,7,18
2024-02-21,Mixed Nuts (Snack),180,5,9,18
2024-02-21,Brown Rice + Veggies,334,8,74,7
2024-02-21,Batch-cooked Chicken Breast,425,43,9,6
2024-02-21,Brown Rice + Veggies,339,11,67,4
2024-02-22,Avocado Toast (Whole Grain),398,17,45,16
2024-02-22,Incline Walk Fuel Bar,242,10,32,7
2024-02-22,Lentil Soup,368,20,41,5
2024-02-22,Avocado Toast (Whole Grain),416,12,46,19
2024-02-23,Egg White Omelette,260,29,11,8
2024-02-23,Cheeseburger + Fries,942,39,72,46
2024-02-23,Incline Walk Fuel Bar,271,12,38,5
2024-02-24,Avocado Toast (Whole Grain),409,17,47,19
2024-02-24,Brown Rice + Veggies,363,9,60,9
2024-02-24,Incline Walk Fuel Bar,211,12,35,11
2024-02-24,Incline Walk Fuel Bar,267,14,36,5
2024-02-24,Post-Workout Rice Cakes,141,4,28,3
2024-02-25,Mixed Nuts (Snack),203,7,9,16
2024-02-25,Protein Shake,144,32,10,5
2024-02-25,Cheeseburger + Fries,883,28,76,31
2024-02-25,Protein Shake,175,34,10,5
2024-02-25,Cheeseburger + Fries,810,36,75,30
2024-02-26,Lentil Soup,285,15,42,7
2024-02-26,Avocado Toast (Whole Grain),432,12,49,20
2024-02-26,Brown Rice + Veggies,302,9,68,5
2024-02-26,Mixed Nuts (Snack),187,7,10,14
2024-02-26,Avocado Toast (Whole Grain),355,12,42,14
2024-02-27,Ground Turkey Bowl,452,46,40,17
2024-02-27,Ground Turkey Bowl,486,49,37,14
2024-02-27,Batch-cooked Chicken Breast,415,54,12,8
2024-02-27,Egg White Omelette,242,26,7,8
2024-02-28,Ground Turkey Bowl,481,38,35,17
2024-02-28,Protein Shake,162,30,12,3
2024-02-28,Ground Turkey Bowl,468,48,43,11
2024-02-28,Protein Shake,192,28,14,4
2024-02-29,Post-Workout Rice Cakes,162,4,26,3
2024-02-29,Brown Rice + Veggies,387,14,73,9
2024-02-29,Incline Walk Fuel Bar,230,10,38,5
2024-02-29,Lentil Soup,291,15,48,9
2024-02-29,Avocado Toast (Whole Grain),444,14,53,14
2024-03-01,Greek Yogurt + Berries,241,18,24,4
2024-03-01,Batch-cooked Chicken Breast,452,46,19,13
2024-03-01,Protein Shake,179,25,5,3
2024-03-01,Protein Shake,141,27,10,5
2024-03-01,Greek Yogurt + Berries,241,17,24,5
2024-03-02,Brown Rice + Veggies,343,11,63,7
2024-03-02,Avocado Toast (Whole Grain),395,17,48,19
2024-03-02,Brown Rice + Veggies,345,9,59,9
2024-03-03,Avocado Toast (Whole Grain),436,13,47,19
2024-03-03,Brown Rice + Veggies,397,10,66,5
2024-03-03,Avocado Toast (Whole Grain),361,10,48,20
2024-03-04,Egg White Omelette,227,20,6,5
2024-03-04,Cheeseburger + Fries,746,29,90,40
2024-03-04,Lentil Soup,378,18,52,10
2024-03-04,Egg White Omelette,241,26,6,5
2024-03-04,Incline Walk Fuel Bar,250,14,39,8
2024-03-05,Batch-cooked Chicken Breast,409,47,18,11
2024-03-05,Greek Yogurt + Berries,213,20,33,7
2024-03-05,Egg White Omelette,237,28,6,5
2024-03-05,Egg White Omelette,274,24,7,6
2024-03-06,Incline Walk Fuel Bar,203,11,35,11
2024-03-06,Egg White Omelette,276,23,7,8
2024-03-06,Protein Shake,163,27,6,3
2024-03-06,Avocado Toast (Whole Grain),387,16,44,14
2024-03-07,Egg White Omelette,277,22,7,6
2024-03-07,Greek Yogurt + Berries,225,20,30,5
2024-03-07,Protein Shake,191,30,5,2
2024-03-07,Ground Turkey Bowl,451,45,32,15
2024-03-07,Greek Yogurt + Berries,208,18,30,3
2024-03-08,Egg White Omelette,260,20,10,6
2024-03-08,Batch-cooked Chicken Breast,447,51,14,10
2024-03-08,Protein Shake,150,31,6,5
2024-03-09,Batch-cooked Chicken Breast,387,52,12,10
2024-03-09,Ground Turkey Bowl,491,41,49,10
2024-03-09,Protein Shake,188,28,10,5
2024-03-10,Avocado Toast (Whole Grain),447,13,54,20
2024-03-10,Greek Yogurt + Berries,243,18,29,3
2024-03-10,Greek Yogurt + Berries,194,20,27,4
2024-03-10,Mixed Nuts (Snack),178,5,9,15
2024-03-10,Avocado Toast (Whole Grain),442,11,53,21
2024-03-11,Incline Walk Fuel Bar,220,15,29,11
2024-03-11,Lentil Soup,354,14,47,6
2024-03-11,Lentil Soup,350,18,44,10
2024-03-12,Avocado Toast (Whole Grain),412,11,46,16
2024-03-12,Brown Rice + Veggies,381,9,70,8
2024-03-12,Avocado Toast (Whole Grain),448,12,43,15
2024-03-12,Incline Walk Fuel Bar,204,11,29,7
2024-03-12,Incline Walk Fuel Bar,230,14,31,8
2024-03-13,Mixed Nuts (Snack),198,5,10,14
2024-03-13,Lentil Soup,310,18,49,5
2024-03-13,Ground Turkey Bowl,421,43,38,19
2024-03-13,Brown Rice + Veggies,319,13,63,4
2024-03-14,Cheeseburger + Fries,833,37,89,40
2024-03-14,Protein Shake,144,34,13,5
2024-03-14,Mixed Nuts (Snack),184,7,6,17
2024-03-15,Cheeseburger + Fries,837,38,85,46
2024-03-15,Protein Shake,164,27,10,4
2024-03-15,Mixed Nuts (Snack),169,8,11,17
2024-03-15,Protein Shake,166,26,5,4
2024-03-15,Mixed Nuts (Snack),208,5,11,18
2024-03-16,Greek Yogurt + Berries,234,20,29,4
2024-03-16,Greek Yogurt + Berries,215,21,24,4
2024-03-16,Egg White Omelette,278,29,12,5
2024-03-17,Protein Shake,149,30,5,4
2024-03-17,Mixed Nuts (Snack),166,6,8,18
2024-03-17,Protein Shake,159,34,5,5
2024-03-18,Protein Shake,183,32,10,2
2024-03-18,Mixed Nuts (Snack),188,5,6,13
2024-03-18,Protein Shake,191,27,10,3
2024-03-19,Batch-cooked Chicken Breast,434,53,15,10
2024-03-19,Cheeseburger + Fries,703,39,80,40
2024-03-19,Lentil Soup,285,21,51,9
2024-03-19,Post-Workout Rice Cakes,137,5,27,3
2024-03-20,Greek Yogurt + Berries,195,15,25,7
2024-03-20,Protein Shake,193,28,7,3
2024-03-20,Egg White Omelette,207,22,5,4
2024-03-20,Protein Shake,179,29,14,2
2024-03-21,Brown Rice + Veggies,353,9,67,7
2024-03-21,Avocado Toast (Whole Grain),377,15,46,20
2024-03-21,Mixed Nuts (Snack),192,5,10,17
2024-03-21,Brown Rice + Veggies,336,10,67,6
2024-03-21,Avocado Toast (Whole Grain),417,10,40,15
2024-03-22,Avocado Toast (Whole Grain),448,14,50,15
2024-03-22,Brown Rice + Veggies,343,13,72,4
2024-03-22,Greek Yogurt + Berries,226,15,21,5
2024-03-22,Avocado Toast (Whole Grain),419,12,48,20
2024-03-22,Mixed Nuts (Snack),163,7,6,17
2024-03-23,Avocado Toast (Whole Grain),433,13,44,14
2024-03-23,Avocado Toast (Whole Grain),436,17,45,17
2024-03-23,Lentil Soup,319,17,49,8
2024-03-23,Post-Workout Rice Cakes,168,4,37,2
2024-03-24,Lentil Soup,287,20,41,11
2024-03-24,Avocado Toast (Whole Grain),364,16,51,16
2024-03-24,Post-Workout Rice Cakes,132,6,33,3
2024-03-25,Greek Yogurt + Berries,237,21,29,3
2024-03-25,Brown Rice + Veggies,362,8,63,4
2024-03-25,Avocado Toast (Whole Grain),431,17,45,20
2024-03-26,Greek Yogurt + Berries,213,19,26,7
2024-03-26,Cheeseburger + Fries,945,28,73,42
2024-03-26,Lentil Soup,352,15,49,5
2024-03-26,Mixed Nuts (Snack),180,6,8,14
2024-03-27,Protein Shake,171,25,6,5
2024-03-27,Protein Shake,193,29,11,3
2024-03-27,Batch-cooked Chicken Breast,393,45,11,11
2024-03-28,Lentil Soup,286,18,46,6
2024-03-28,Lentil Soup,283,21,43,9
2024-03-28,Brown Rice + Veggies,304,12,74,6
2024-03-28,Post-Workout Rice Cakes,145,4,25,3
2024-03-29,Lentil Soup,333,20,45,9
2024-03-29,Incline Walk Fuel Bar,278,14,31,8
2024-03-29,Post-Workout Rice Cakes,166,4,31,1
2024-03-29,Post-Workout Rice Cakes,137,6,37,3
2024-03-29,Post-Workout Rice Cakes,130,6,30,1
2024-03-30,Ground Turkey Bowl,426,45,30,11
2024-03-30,Avocado Toast (Whole Grain),408,14,43,14
2024-03-30,Incline Walk Fuel Bar,261,10,32,8
2024-03-30,Egg White Omelette,274,27,11,5
2024-03-31,Cheeseburger + Fries,815,28,76,35
2024-03-31,Protein Shake,175,25,14,5
2024-03-31,Mixed Nuts (Snack),219,5,10,16
2024-04-01,Lentil Soup,351,20,47,5
2024-04-01,Avocado Toast (Whole Grain),390,12,45,16
2024-04-01,Mixed Nuts (Snack),213,8,11,13
2024-04-01,Brown Rice + Veggies,359,14,69,6
2024-04-01,Greek Yogurt + Berries,207,17,32,7
2024-04-02,Protein Shake,184,28,12,4
2024-04-02,Ground Turkey Bowl,492,44,42,15
2024-04-02,Ground Turkey Bowl,437,40,32,11
2024-04-02,Batch-cooked Chicken Breast,385,43,15,6
2024-04-02,Protein Shake,151,26,10,2
2024-04-03,Brown Rice + Veggies,398,9,59,5
2024-04-03,Lentil Soup,335,16,50,8
2024-04-03,Brown Rice + Veggies,333,12,59,4
2024-04-04,Ground Turkey Bowl,427,49,44,19
2024-04-04,Protein Shake,184,25,6,3
2024-04-04,Egg White Omelette,295,27,8,4
2024-04-04,Egg White Omelette,293,21,5,9
2024-04-04,Greek Yogurt + Berries,229,16,30,5
2024-04-05,Ground Turkey Bowl,459,49,42,10
2024-04-05,Greek Yogurt + Berries,191,19,30,6
2024-04-05,Batch-cooked Chicken Breast,428,45,15,13
2024-04-06,Greek Yogurt + Berries,238,17,31,5
2024-04-06,Protein Shake,173,34,13,2
2024-04-06,Greek Yogurt + Berries,225,16,21,3
2024-04-07,Mixed Nuts (Snack),174,5,9,16
2024-04-07,Brown Rice + Veggies,306,10,64,4
2024-04-07,Lentil Soup,349,14,49,11
2024-04-08,Post-Workout Rice Cakes,127,4,34,3
2024-04-08,Lentil Soup,284,21,52,8
2024-04-08,Lentil Soup,358,15,41,10
2024-04-08,Lentil Soup,312,20,44,11
2024-04-08,Lentil Soup,358,19,50,8
2024-04-09,Cheeseburger + Fries,723,38,91,38
2024-04-09,Mixed Nuts (Snack),193,5,9,15
2024-04-09,Cheeseburger + Fries,727,33,86,39
2024-04-10,Post-Workout Rice Cakes,155,6,34,2
2024-04-10,Lentil Soup,299,19,54,5
2024-04-10,Lentil Soup,303,15,46,7
2024-04-11,Egg White Omelette,251,25,13,9
2024-04-11,Ground Turkey Bowl,470,45,36,11
2024-04-11,Batch-cooked Chicken Breast,473,46,19,6
2024-04-11,Batch-cooked Chicken Breast,458,42,11,9
2024-04-12,Batch-cooked Chicken Breast,416,51,8,10
2024-04-12,Mixed Nuts (Snack),214,6,11,18
2024-04-12,Incline Walk Fuel Bar,202,17,38,7
2024-04-12,Cheeseburger + Fries,918,38,86,42
2024-04-12,Egg White Omelette,299,29,10,6
2024-04-13,Greek Yogurt + Berries,188,21,20,7
2024-04-13,Mixed Nuts (Snack),218,7,7,16
2024-04-13,Protein Shake,159,29,6,4
2024-04-14,Protein Shake,146,33,13,5
2024-04-14,Ground Turkey Bowl,469,49,39,17
2024-04-14,Greek Yogurt + Berries,216,21,26,7
2024-04-14,Ground Turkey Bowl,452,49,31,11
2024-04-15,Brown Rice + Veggies,312,8,57,5
2024-04-15,Avocado Toast (Whole Grain),446,14,41,18
2024-04-15,Mixed Nuts (Snack),191,6,10,16
2024-04-15,Avocado Toast (Whole Grain),408,13,42,17
2024-04-15,Greek Yogurt + Berries,223,20,22,4
2024-04-16,Mixed Nuts (Snack),202,8,9,17
2024-04-16,Greek Yogurt + Berries,222,17,24,6
2024-04-16,Avocado Toast (Whole Grain),428,12,42,18
2024-04-16,Lentil Soup,323,15,45,6
2024-04-16,Greek Yogurt + Berries,189,20,33,7
2024-04-17,Cheeseburger + Fries,754,31,80,42
2024-04-17,Cheeseburger + Fries,813,37,70,41
2024-04-17,Protein Shake,145,33,13,3
2024-04-17,Mixed Nuts (Snack),205,7,7,13
2024-04-17,Protein Shake,150,32,14,3
2024-04-18,Cheeseburger + Fries,811,32,79,40
2024-04-18,Mixed Nuts (Snack),214,7,11,18
2024-04-18,Post-Workout Rice Cakes,159,3,27,1
2024-04-19,Greek Yogurt + Berries,224,18,24,4
2024-04-19,Avocado Toast (Whole Grain),389,10,40,20
2024-04-19,Incline Walk Fuel Bar,278,15,30,6
2024-04-20,Greek Yogurt + Berries,219,21,26,7
2024-04-20,Greek Yogurt + Berries,241,19,22,7
2024-04-20,Avocado Toast (Whole Grain),395,10,46,21
2024-04-20,Mixed Nuts (Snack),181,8,7,13
2024-04-21,Mixed Nuts (Snack),178,8,8,15
2024-04-21,Brown Rice + Veggies,359,14,67,5
2024-04-21,Avocado Toast (Whole Grain),441,17,51,17
2024-04-22,Ground Turkey Bowl,434,47,34,11
2024-04-22,Greek Yogurt + Berries,247,17,32,4
2024-04-22,Egg White Omelette,230,27,14,8
2024-04-22,Ground Turkey Bowl,480,39,37,18
2024-04-22,Batch-cooked Chicken Breast,471,52,16,7
2024-04-23,Brown Rice + Veggies,341,12,74,5
2024-04-23,Avocado Toast (Whole Grain),367,10,41,19
2024-04-23,Brown Rice + Veggies,304,10,72,8
2024-04-23,Mixed Nuts (Snack),201,8,10,15
2024-04-23,Greek Yogurt + Berries,202,17,20,4
2024-04-24,Lentil Soup,307,19,51,8
2024-04-24,Post-Workout Rice Cakes,173,6,25,2
2024-04-24,Incline Walk Fuel Bar,255,17,36,9
2024-04-24,Brown Rice + Veggies,318,12,61,4
2024-04-25,Post-Workout Rice Cakes,148,5,34,3
2024-04-25,Brown Rice + Veggies,345,12,63,9
2024-04-25,Incline Walk Fuel Bar,268,12,34,9
2024-04-25,Brown Rice + Veggies,383,14,60,8
2024-04-26,Post-Workout Rice Cakes,164,3,33,1
2024-04-26,Greek Yogurt + Berries,236,17,21,7
2024-04-26,Batch-cooked Chicken Breast,446,43,10,11
2024-04-26,Incline Walk Fuel Bar,251,13,37,5
2024-04-26,Avocado Toast (Whole Grain),368,12,42,21
2024-04-27,Post-Workout Rice Cakes,144,5,37,2
2024-04-27,Post-Workout Rice Cakes,138,5,28,1
2024-04-27,Incline Walk Fuel Bar,257,10,35,9
2024-04-27,Brown Rice + Veggies,359,9,62,8
2024-04-28,Egg White Omelette,250,28,10,5
2024-04-28,Protein Shake,192,28,11,4
2024-04-28,Ground Turkey Bowl,486,43,42,16
2024-04-29,Brown Rice + Veggies,360,14,74,7
2024-04-29,Incline Walk Fuel Bar,276,14,30,10
2024-04-29,Avocado Toast (Whole Grain),414,10,53,14
2024-04-29,Post-Workout Rice Cakes,141,4,36,3
2024-04-29,Brown Rice + Veggies,364,9,62,9
2024-04-30,Avocado Toast (Whole Grain),387,14,49,20
2024-04-30,Lentil Soup,373,19,41,8
2024-04-30,Avocado Toast (Whole Grain),411,11,43,20
2024-04-30,Brown Rice + Veggies,393,11,58,4
2024-04-30,Avocado Toast (Whole Grain),365,15,42,17
2024-05-01,Brown Rice + Veggies,301,13,57,7
2024-05-01,Ground Turkey Bowl,495,41,43,18
2024-05-01,Lentil Soup,363,21,46,7
2024-05-02,Greek Yogurt + Berries,211,20,32,7
2024-05-02,Egg White Omelette,210,22,9,5
2024-05-02,Greek Yogurt + Berries,227,18,27,4
2024-05-03,Lentil Soup,332,19,53,11
2024-05-03,Avocado Toast (Whole Grain),435,15,53,20
2024-05-03,Brown Rice + Veggies,309,11,61,9
2024-05-03,Brown Rice + Veggies,366,10,74,4
2024-05-04,Mixed Nuts (Snack),204,8,7,18
2024-05-04,Lentil Soup,336,20,43,9
2024-05-04,Greek Yogurt + Berries,208,18,24,6
2024-05-04,Greek Yogurt + Berries,197,17,29,6
2024-05-05,Mixed Nuts (Snack),181,6,11,18
2024-05-05,Mixed Nuts (Snack),198,5,6,14
2024-05-05,Brown Rice + Veggies,313,13,60,8
2024-05-05,Avocado Toast (Whole Grain),366,13,49,20
2024-05-06,Batch-cooked Chicken Breast,453,44,18,11
2024-05-06,Ground Turkey Bowl,429,49,43,19
2024-05-06,Greek Yogurt + Berries,210,20,30,7
2024-05-07,Brown Rice + Veggies,374,14,58,6
2024-05-07,Greek Yogurt + Berries,209,18,22,5
2024-05-07,Lentil Soup,345,19,52,11
2024-05-07,Mixed Nuts (Snack),160,5,6,17
2024-05-08,Brown Rice + Veggies,342,14,67,8
2024-05-08,Mixed Nuts (Snack),201,6,11,17
2024-05-08,Avocado Toast (Whole Grain),362,16,48,18
2024-05-08,Greek Yogurt + Berries,203,15,34,5
2024-05-08,Avocado Toast (Whole Grain),444,17,51,16
2024-05-09,Cheeseburger + Fries,775,39,90,49
2024-05-09,Mixed Nuts (Snack),190,6,8,15
2024-05-09,Mixed Nuts (Snack),163,5,9,17
2024-05-09,Protein Shake,190,28,6,3
2024-05-09,Mixed Nuts (Snack),191,8,6,17
